system:index,built_up_density,grid_id,latitude,longitude,.geo
00000000000000000081,0.0016483408128813199,HYD_0130,17.559861188359175,78.56841447122146,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,0.05599766929082295,HYD_0131,17.559975637697605,78.57782837901836,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,0.05847501709730548,HYD_0132,17.56009081888807,78.58724227582816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,0.01592626695180511,HYD_0133,17.56020493298845,78.59665809557518,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,9.490505028851138E-5,HYD_0134,17.56032010074319,78.6060727294006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,0.0018838761337488803,HYD_0135,17.560434140673667,78.6154862264686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,0.11188950170141389,HYD_0136,17.56054605488679,78.62490202818702,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,0.1148177190380021,HYD_0137,17.54650948466101,78.2390871875539,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,0.09766777203739785,HYD_0138,17.54663921610072,78.24849777121493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,0.15271324354239693,HYD_0139,17.546771501345898,78.25790945580336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,0.29160502889747336,HYD_0140,17.546901554903428,78.26732111513186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,0.27849833824697934,HYD_0141,17.5470305243455,78.27673315214798,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,0.2724774030778583,HYD_0142,17.54716054509241,78.28614405447837,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,0.42257223221518103,HYD_0143,17.547289477055713,78.29555611555024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,0.06129280227521888,HYD_0144,17.5474165593197,78.30496929101274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,1.8989278876549567E-4,HYD_0145,17.547544020522675,78.31438134351957,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,0.1331221636881319,HYD_0146,17.547671495348414,78.32379193572872,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,0.6342752269529349,HYD_0147,17.547798967245043,78.33320474725173,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,0.7709382225139009,HYD_0148,17.547924929721106,78.34261750272947,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,0.727208583189207,HYD_0149,17.54805236505125,78.3520295467148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,0.6515149371853489,HYD_0150,17.548179058282784,78.36144160190456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,0.5035980435696259,HYD_0151,17.548303914588484,78.3708547646274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,0.36768231918845085,HYD_0152,17.548428780853985,78.38026791494704,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,0.19525823447054855,HYD_0153,17.548551421024722,78.38968108174048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,0.199680825237296,HYD_0154,17.548674412134314,78.39909313125935,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,0.06118509904240892,HYD_0155,17.54879891143233,78.40850515773825,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,0.08156610252271516,HYD_0156,17.548921539383326,78.41791833690208,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,0.5399630048352815,HYD_0157,17.54904414108751,78.42733152081398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,0.5037851488745809,HYD_0158,17.549166758388733,78.43674466520194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,0.04050170458648794,HYD_0159,17.549287171189132,78.44615781210382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,0.0356817610882126,HYD_0160,17.549408695665967,78.45557137600602,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,0.41306258829694337,HYD_0161,17.54953131118665,78.46498377555439,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,0.16111424772051997,HYD_0162,17.549651730997795,78.47439768911289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,0.33422665280228886,HYD_0163,17.549769884738293,78.48381006532676,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,0.39912078895956915,HYD_0164,17.54988915525159,78.49322364045914,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,0.09741616563283265,HYD_0165,17.550009545492557,78.50263682654308,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,0.1493737124864853,HYD_0166,17.550128057274417,78.51205106785035,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,0.3078895477461385,HYD_0167,17.55024586059235,78.52146536000654,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,0.1031174069023642,HYD_0168,17.550364036664266,78.53087851496088,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,0.23292646290758534,HYD_0169,17.5504799639144,78.54029169366748,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,0.001850025860176445,HYD_0170,17.550596668600456,78.54970637170624,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,0.00411935643704311,HYD_0171,17.550714420316023,78.55912133446253,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,0.024357020438013254,HYD_0172,17.550828881728634,78.56853524243876,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,0.018261564571782983,HYD_0173,17.550943735328175,78.57794879628719,"{""type"":""MultiPoint"",""coordinates"":[]}"
