date,station_id,station_name,ground_no2_mean,valid_readings,total_readings,coverage_percent
2025-08-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,59,96,61.458333333333336
2025-08-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,0,96,0.0
2025-08-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,58,96,60.416666666666664
2025-08-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",51.57977528089888,89,96,92.70833333333334
2025-08-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.44301075268817,93,96,96.875
2025-08-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.27931034482759,87,96,90.625
2025-08-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.183870967741935,93,96,96.875
2025-08-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.08681318681319,91,96,94.79166666666666
2025-08-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,63,96,65.625
2025-08-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,57,96,59.375
2025-08-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.568888888888885,90,96,93.75
2025-08-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",23.49462365591398,93,96,96.875
2025-08-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.416129032258063,93,96,96.875
2025-08-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",21.166304347826088,92,96,95.83333333333334
2025-08-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.176344086021505,93,96,96.875
2025-08-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.672043010752688,93,96,96.875
2025-08-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.203225806451613,93,96,96.875
2025-08-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",23.628888888888888,90,96,93.75
2025-08-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",35.05866666666667,75,96,78.125
2025-08-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.129032258064516,93,96,96.875
2025-08-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.706521739130434,92,96,95.83333333333334
2025-08-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.18172043010753,93,96,96.875
2025-08-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.275280898876403,89,96,92.70833333333334
2025-08-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.544086021505375,93,96,96.875
2025-08-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.56413043478261,92,96,95.83333333333334
2025-08-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.573118279569893,93,96,96.875
2025-08-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.58494623655914,93,96,96.875
2025-08-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.934408602150537,93,96,96.875
2025-08-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.588043478260868,92,96,95.83333333333334
2025-08-31,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.141304347826086,92,96,95.83333333333334
2025-01-01,site_262,"Central University, Hyderabad - TSPCB",26.542222222222225,90,96,93.75
2025-01-02,site_262,"Central University, Hyderabad - TSPCB",38.8989010989011,91,96,94.79166666666666
2025-01-03,site_262,"Central University, Hyderabad - TSPCB",60.97816091954024,87,96,90.625
2025-01-04,site_262,"Central University, Hyderabad - TSPCB",52.142857142857146,91,96,94.79166666666666
2025-01-05,site_262,"Central University, Hyderabad - TSPCB",24.39,90,96,93.75
