system:index,elevation_m,grid_id,latitude,longitude,.geo
00000000000000000093,567.7406243403616,HYD_0148,17.547924929721106,78.34261750272947,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,577.3306388369439,HYD_0149,17.54805236505125,78.3520295467148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,580.4458285450082,HYD_0150,17.548179058282784,78.36144160190456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,588.3886738970928,HYD_0151,17.548303914588484,78.3708547646274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,596.740427271387,HYD_0152,17.548428780853985,78.38026791494704,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,600.2387985190902,HYD_0153,17.548551421024722,78.38968108174048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,604.2622160261933,HYD_0154,17.548674412134314,78.39909313125935,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,612.2269589808549,HYD_0155,17.54879891143233,78.40850515773825,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,608.8960435017141,HYD_0156,17.548921539383326,78.41791833690208,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,595.1116274706242,HYD_0157,17.54904414108751,78.42733152081398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,595.3958063186689,HYD_0158,17.549166758388733,78.43674466520194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,597.2552612621669,HYD_0159,17.549287171189132,78.44615781210382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,590.0748609003552,HYD_0160,17.549408695665967,78.45557137600602,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,585.2856104432062,HYD_0161,17.54953131118665,78.46498377555439,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,576.1249882765926,HYD_0162,17.549651730997795,78.47439768911289,"{""type"":""MultiPoint"",""coordinates"":[]}"
